Pres_name,Hobby
Adams J Q,Billiards
Adams J Q,Swimming
Adams J Q,Walking
Arthur C A,Fishing
Bush G W,Fishing
Bush G W,Hunting
Bush G W,Reading
Bush G W,Running
Bush G W H,Baseball
Bush G W H,Soccer
Cleveland G,Fishing
Clinton W J B,Playing Saxophone
Clinton W J B,Reading
Clinton W J B,Running
Coolidge C,Fishing
Coolidge C,Golf
Coolidge C,Indian Clubs
Coolidge C,Mechanical Horse
Coolidge C,Pitching Hay
Eisenhower D D,Bridge
Eisenhower D D,Fishing
Eisenhower D D,Golf
Eisenhower D D,Hunting
Eisenhower D D,Painting
Garfield J A,Billiards
Harding W G,Golf
Harding W G,Poker
Harding W G,Riding
Harrison B,Hunting
Hayes R B,Croquet
Hayes R B,Driving
Hayes R B,Shooting
Hoover H C,Fishing
Hoover H C,Medicine Ball
Jackson A,Riding
Jefferson T,Fishing
Jefferson T,Riding
Johnson L B,Riding
Kennedy J F,Sailing
Kennedy J F,Swimming
Kennedy J F,Touch Football
Lincoln A,Walking
McKinley W,Riding
McKinley W,Swimming
McKinley W,Walking
Nixon R M,Golf
Roosevelt F D,Fishing
Roosevelt F D,Sailing
Roosevelt F D,Swimming
Roosevelt T,Boxing
Roosevelt T,Hunting
Roosevelt T,Jujitsu
Roosevelt T,Riding
Roosevelt T,Shooting
Roosevelt T,Tennis
Roosevelt T,Wrestling
Taft W H,Golf
Taft W H,Riding
Taylor Z,Riding
Truman H S,Fishing
Truman H S,Poker
Truman H S,Walking
Van Buren M,Riding
Washington G,Fishing
Washington G,Riding
Wilson W,Golf
Wilson W,Riding
Wilson W,Walking
